qId,qText,type,qLabelText,gridId,subType
D1,Please specify your company's industry,S,Type of Industry,,
D2,What is your company's annual revenue? ,S,Annual revenue,,
D2a,Do you run applications in the cloud?,S,Applications in the cloud?,,
D3,In which region is the organization you work for headquartered?,S,organization's Headquarter Region,,
D3a,Where do you primarily reside?,S,Area of Reside,,
D4,What title best describes you?,S,Executive Hierarchy,,
D5,What is the primary focus of your current role in the organization?,S,Primary Focus of Current Role,,
D6,Which one of the following statements most accurately captures the current state of your organization's shared services and outsourcing landscape? ,S," Current State of Services and 
Outsourcing Landscape",,
D7,What was your organization's revenue growth for the last 12 months?,S,organization's Revenue,,
D8,What was your organization's profit growth for the last 12 months?,S,organization's Profit Growth,,
D9x1,"You, an individual - You, an individual",S,Classification of Individual ,,
D9x2,Your company - Your company,S,Classification of Company,,
Q1x1,Improve brand value (For past 12 months - For past 12 months),R,Major strategic priorities post pandemic shock - "For past 12 months",,3
Q1x2,Improve brand value (For next 12 to 18 months - For next 12 to 18 months),R,Major strategic priorities post pandemic shock - "For next 12-18 months",,3
Q13,Rank 1-3 starting from most important drivers for business services deployment (which can include outsourcing for your organization),R,Business operating model using "Today" & "Expected in 2 years",,3
Q4,"How important is it to drive a OneOffice mindset (connecting the front, middle, and back offices to create a touchless and frictionless digital experience) for your company's overall operation and strategy? ",S,Importance of OneOffice mindset for company's overall operation and strategy,,
Q5,Has the importance of a OneOffice mindset increased or decreased since Q2 2020 (after the pandemic shock)? ,S,Change in the importance of OneOffice mindset after pandemic shock,,
Q12x1,What business services operating model do you use today?,S,,,
Q12x2,what do you anticipate your business services operating model will be in 2 years??,S,,,
Q7,Process automation (Q7 - What is the stage of overall adoption of emerging technologies in your company? ),G,Stage of overall adoption and change in investments for emerging technologies,Q7G,S
Q8,"Process automation (Q8 - Do you see investments increasing, decreasing, or staying the same for these technologies over next 12 to 18 months? )",G,Stage of overall adoption and change in investments for emerging technologies,Q8G,S
Q19a,Please rate the top three benefits of cloud deployment for your organization.,R,Cloud deployment benefit to organization,,3
Q10,Revenue (Q10 - What impacts do you anticipate your organization's digital initiatives will drive over the next 12 months? ),G,Impacts of Digital Initiatives over next 12 months,Q10G,S
